The program is using data type: float.
Dimension: 2.
Reading basic information about the lattice: Dimension DIM, Length L and primitive lattice vectors LattVectors
Reading the energy scale, number of orbitals NOrbitals and their positions OrbPositions
Reading data type and checking whether it is complex.
Filling the MU matrix.
i:0
dos is required? 1
cond_dc is required? 0
Filling the Gamma matrix.
Filling the Lambda matrix.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
1.42613 -0.0582731 -0.00604784 -0.0582247 0.00649712 0.0901636 -0.000347724
1.4407 -0.0569528 -0.00550721 -0.0569091 0.00594189 0.0892516 -0.000340725
1.45528 -0.055491 -0.00507721 -0.0554511 0.00549649 0.0883579 -0.000333936
1.46985 -0.0542045 -0.00474092 -0.0541675 0.00514644 0.0874819 -0.000327347
1.48442 -0.0529331 -0.00435723 -0.0528994 0.00474936 0.0866231 -0.000320951
1.49899 -0.0516763 -0.00403604 -0.0516453 0.00441514 0.085781 -0.000314741
1.51357 -0.0505241 -0.00370917 -0.0504958 0.00407626 0.0849551 -0.00030871
1.52814 -0.0493374 -0.00339043 -0.0493118 0.00374549 0.084145 -0.00030285
1.54271 -0.0481926 -0.00308082 -0.0481694 0.00342436 0.0833501 -0.000297155
1.55729 -0.047067 -0.00285161 -0.0470457 0.003184 0.0825702 -0.00029162
1.57186 -0.0460228 -0.00261378 -0.0460034 0.00293578 0.0818047 -0.000286238
1.58643 -0.0450086 -0.00239195 -0.0449909 0.00270397 0.0810532 -0.000281003
1.60101 -0.0440088 -0.00214309 -0.0439931 0.0024454 0.0803155 -0.000275911
1.61558 -0.0430194 -0.00192561 -0.0430053 0.00221847 0.0795911 -0.000270956
1.63015 -0.0420481 -0.00174169 -0.0420354 0.00202538 0.0788796 -0.000266133
1.64472 -0.0411146 -0.0015782 -0.0411031 0.00185313 0.0781807 -0.000261438
1.6593 -0.0402171 -0.00142578 -0.0402067 0.00169235 0.0774941 -0.000256866
1.67387 -0.0393583 -0.00127951 -0.0393491 0.00153812 0.0768194 -0.000252413
1.68844 -0.0385226 -0.00113562 -0.0385143 0.00138656 0.0761564 -0.000248075
1.70302 -0.0376887 -0.000995561 -0.0376815 0.00123897 0.0755047 -0.000243847
1.71759 -0.0368847 -0.000893936 -0.0368783 0.00113014 0.0748641 -0.000239727
1.73216 -0.03612 -0.000773582 -0.0361144 0.00100294 0.0742343 -0.000235711
1.74673 -0.0353568 -0.000673437 -0.0353518 0.00089608 0.073615 -0.000231794
1.76131 -0.034618 -0.000572814 -0.0346137 0.000789002 0.0730059 -0.000227974
1.77588 -0.0338917 -0.000494543 -0.033888 0.00070446 0.0724068 -0.000224248
1.79045 -0.0331997 -0.000422723 -0.0331965 0.000626682 0.0718175 -0.000220613
1.80503 -0.03252 -0.000358069 -0.0325173 0.000556241 0.0712377 -0.000217065
1.8196 -0.0318647 -0.000299845 -0.0318623 0.00049247 0.0706672 -0.000213602
1.83417 -0.0312267 -0.000246566 -0.0312246 0.000433835 0.0701057 -0.000210221
1.84874 -0.0306052 -0.000197684 -0.0306035 0.000379779 0.0695531 -0.00020692
1.86332 -0.0299999 -0.000158644 -0.0299984 0.000335743 0.0690092 -0.000203696
1.87789 -0.0294125 -0.000125022 -0.0294112 0.000297307 0.0684736 -0.000200547
1.89246 -0.0288427 -9.73139e-05 -0.0288417 0.00026496 0.0679464 -0.00019747
1.90704 -0.0282893 -7.45987e-05 -0.0282884 0.000237772 0.0674272 -0.000194464
1.92161 -0.0277525 -5.76108e-05 -0.0277517 0.000216474 0.0669158 -0.000191526
1.93618 -0.0272324 -4.54169e-05 -0.0272317 0.00020013 0.0664122 -0.000188653
1.95075 -0.0267288 -3.75447e-05 -0.0267282 0.000188263 0.0659161 -0.000185845
1.96533 -0.0262424 -3.34519e-05 -0.0262418 0.00018033 0.0654273 -0.000183099
1.9799 -0.0257729 -3.10204e-05 -0.0257723 0.000174209 0.0649457 -0.000180414
1.99447 -0.0253187 -2.9067e-05 -0.0253182 0.000168705 0.0644712 -0.000177787
2.00905 -0.0248786 -2.73813e-05 -0.0248781 0.000163596 0.0640036 -0.000175217
2.02362 -0.0244516 -2.58863e-05 -0.0244511 0.000158799 0.0635427 -0.000172703
2.03819 -0.0240369 -2.45391e-05 -0.0240364 0.000154264 0.0630883 -0.000170242
2.05276 -0.0236339 -2.3312e-05 -0.0236335 0.000149956 0.0626405 -0.000167834
2.06734 -0.0232421 -2.21857e-05 -0.0232416 0.000145852 0.0621989 -0.000165476
2.08191 -0.0228609 -2.11461e-05 -0.0228604 0.000141933 0.0617635 -0.000163167
2.09648 -0.0224898 -2.01819e-05 -0.0224894 0.000138182 0.0613342 -0.000160907
2.11106 -0.0221285 -1.92844e-05 -0.0221281 0.000134587 0.0609108 -0.000158693
2.12563 -0.0217765 -1.84466e-05 -0.0217761 0.000131137 0.0604932 -0.000156524
2.1402 -0.0214334 -1.76619e-05 -0.0214331 0.000127823 0.0600814 -0.0001544
2.15477 -0.021099 -1.69257e-05 -0.0210987 0.000124634 0.059675 -0.000152319
2.16935 -0.0207729 -1.62333e-05 -0.0207725 0.000121564 0.0592742 -0.000150279
2.18392 -0.0204547 -1.55811e-05 -0.0204544 0.000118607 0.0588786 -0.00014828
2.19849 -0.0201443 -1.49658e-05 -0.0201439 0.000115755 0.0584884 -0.000146321
2.21307 -0.0198412 -1.43842e-05 -0.0198409 0.000113004 0.0581032 -0.0001444
2.22764 -0.0195453 -1.38339e-05 -0.019545 0.000110347 0.0577231 -0.000142517
2.24221 -0.0192564 -1.33127e-05 -0.0192561 0.000107781 0.057348 -0.000140671
2.25678 -0.0189741 -1.28182e-05 -0.0189738 0.000105301 0.0569777 -0.00013886
2.27136 -0.0186983 -1.23487e-05 -0.018698 0.000102902 0.0566121 -0.000137084
2.28593 -0.0184287 -1.19025e-05 -0.0184285 0.000100582 0.0562512 -0.000135342
2.3005 -0.0181652 -1.1478e-05 -0.018165 9.83357e-05 0.0558949 -0.000133632
2.31508 -0.0179076 -1.10739e-05 -0.0179073 9.61605e-05 0.055543 -0.000131955
2.32965 -0.0176556 -1.06888e-05 -0.0176553 9.40534e-05 0.0551956 -0.00013031
2.34422 -0.0174091 -1.03214e-05 -0.0174089 9.20113e-05 0.0548525 -0.000128695
2.35879 -0.017168 -9.97094e-06 -0.0171677 9.00315e-05 0.0545136 -0.000127109
2.37337 -0.016932 -9.63623e-06 -0.0169317 8.81114e-05 0.0541789 -0.000125553
2.38794 -0.016701 -9.31632e-06 -0.0167008 8.62486e-05 0.0538482 -0.000124025
2.40251 -0.0164749 -9.01041e-06 -0.0164747 8.44408e-05 0.0535216 -0.000122525
2.41709 -0.0162535 -8.71779e-06 -0.0162533 8.26858e-05 0.0531989 -0.000121052
2.43166 -0.0160367 -8.43754e-06 -0.0160365 8.09815e-05 0.0528801 -0.000119606
