The program is using data type: double.
Dimension: 2.
Reading basic information about the lattice: Dimension DIM, Length L and primitive lattice vectors LattVectors
Reading the energy scale, number of orbitals NOrbitals and their positions OrbPositions
Reading data type and checking whether it is complex.
Reading the list of quantities to calculate, Calculation/FunctionNum.
Searching which quantities need to be calculated.
MU needed? 1
GammaXX needed? 1
GammaXY needed? 0
LambdaXX needed? 1
LambdaXY needed? 0
Filling the MU matrix.
Filling the GammaXX matrix.
Filling the LambdaXX matrix.
Calculating the density of states with 1001 energies... Done.
calculating the optical conductivityxxSetting lambda functions
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
Entered contract 2d.
First part of the calculation.
Second part of the calculation.
Left contract.
2.01 -0.0238515 -4.56149e-05 -0.0238499 0.000282935 0.0629873 -0.00031337
2.025 -0.0234334 -4.32296e-05 -0.0234318 0.000274663 0.0625207 -0.000308744
2.04 -0.0230274 -4.10496e-05 -0.0230259 0.000266801 0.0620611 -0.000304221
2.055 -0.0226329 -3.90444e-05 -0.0226314 0.000259308 0.0616081 -0.000299796
2.07 -0.0222493 -3.71908e-05 -0.0222479 0.000252153 0.0611617 -0.000295467
2.085 -0.0218763 -3.54705e-05 -0.0218749 0.000245308 0.0607217 -0.000291231
2.1 -0.0215133 -3.38684e-05 -0.021512 0.000238751 0.060288 -0.000287086
2.115 -0.0211599 -3.23723e-05 -0.0211587 0.00023246 0.0598604 -0.000283028
2.13 -0.0208158 -3.09715e-05 -0.0208146 0.000226419 0.0594389 -0.000279056
2.145 -0.0204806 -2.96572e-05 -0.0204794 0.000220613 0.0590232 -0.000275167
2.16 -0.0201539 -2.84217e-05 -0.0201527 0.000215026 0.0586134 -0.000271358
2.175 -0.0198354 -2.72583e-05 -0.0198343 0.000209648 0.0582092 -0.000267628
2.19 -0.0195248 -2.6161e-05 -0.0195238 0.000204465 0.0578105 -0.000263975
2.205 -0.0192219 -2.51247e-05 -0.0192209 0.000199468 0.0574172 -0.000260396
2.22 -0.0189264 -2.41446e-05 -0.0189254 0.000194648 0.0570293 -0.000256889
2.235 -0.0186379 -2.32166e-05 -0.0186369 0.000189994 0.0566466 -0.000253452
2.25 -0.0183563 -2.2337e-05 -0.0183554 0.0001855 0.0562689 -0.000250084
2.265 -0.0180813 -2.15023e-05 -0.0180804 0.000181157 0.0558963 -0.000246783
2.28 -0.0178128 -2.07096e-05 -0.0178119 0.000176958 0.0555286 -0.000243546
2.295 -0.0175504 -1.99559e-05 -0.0175496 0.000172897 0.0551657 -0.000240373
2.31 -0.017294 -1.92389e-05 -0.0172932 0.000168967 0.0548075 -0.000237262
2.325 -0.0170434 -1.85561e-05 -0.0170426 0.000165163 0.0544539 -0.00023421
2.34 -0.0167985 -1.79054e-05 -0.0167977 0.000161479 0.0541048 -0.000231217
2.355 -0.0165589 -1.72848e-05 -0.0165582 0.00015791 0.0537602 -0.000228281
2.37 -0.0163247 -1.66926e-05 -0.016324 0.000154451 0.05342 -0.000225401
2.385 -0.0160955 -1.61271e-05 -0.0160948 0.000151097 0.053084 -0.000222574
2.4 -0.0158714 -1.55867e-05 -0.0158707 0.000147845 0.0527522 -0.000219801
2.415 -0.015652 -1.507e-05 -0.0156513 0.00014469 0.0524246 -0.000217079
2.43 -0.0154372 -1.45757e-05 -0.0154366 0.000141628 0.052101 -0.000214407
2.445 -0.015227 -1.41025e-05 -0.0152264 0.000138656 0.0517814 -0.000211785
2.46 -0.0150212 -1.36493e-05 -0.0150206 0.000135771 0.0514656 -0.00020921
2.475 -0.0148197 -1.3215e-05 -0.0148191 0.000132968 0.0511537 -0.000206682
2.49 -0.0146223 -1.27987e-05 -0.0146217 0.000130245 0.0508456 -0.000204199
2.505 -0.0144289 -1.23994e-05 -0.0144284 0.000127598 0.0505411 -0.000201761
2.52 -0.0142395 -1.20161e-05 -0.0142389 0.000125026 0.0502403 -0.000199366
2.535 -0.0140538 -1.16482e-05 -0.0140533 0.000122524 0.049943 -0.000197014
2.55 -0.0138719 -1.12948e-05 -0.0138713 0.000120092 0.0496493 -0.000194703
2.565 -0.0136935 -1.09553e-05 -0.013693 0.000117725 0.0493589 -0.000192432
2.58 -0.0135186 -1.06288e-05 -0.0135182 0.000115423 0.049072 -0.000190201
2.595 -0.0133472 -1.03149e-05 -0.0133467 0.000113182 0.0487883 -0.000188009
2.61 -0.0131791 -1.00129e-05 -0.0131786 0.000111 0.0485079 -0.000185854
2.625 -0.0130142 -9.7223e-06 -0.0130137 0.000108876 0.0482308 -0.000183736
2.64 -0.0128524 -9.44247e-06 -0.012852 0.000106808 0.0479567 -0.000181654
2.655 -0.0126937 -9.17296e-06 -0.0126933 0.000104793 0.0476858 -0.000179608
2.67 -0.012538 -8.9133e-06 -0.0125376 0.000102829 0.0474179 -0.000177595
2.685 -0.0123852 -8.66305e-06 -0.0123848 0.000100916 0.047153 -0.000175616
2.7 -0.0122352 -8.42178e-06 -0.0122348 9.90518e-05 0.0468911 -0.000173671
2.715 -0.012088 -8.18909e-06 -0.0120877 9.7234e-05 0.046632 -0.000171757
2.73 -0.0119435 -7.96461e-06 -0.0119431 9.54616e-05 0.0463758 -0.000169875
2.745 -0.0118016 -7.74798e-06 -0.0118013 9.3733e-05 0.0461224 -0.000168023
2.76 -0.0116623 -7.53886e-06 -0.0116619 9.2047e-05 0.0458717 -0.000166202
2.775 -0.0115255 -7.33694e-06 -0.0115251 9.04021e-05 0.0456238 -0.00016441
2.79 -0.0113911 -7.1419e-06 -0.0113907 8.87971e-05 0.0453785 -0.000162647
2.805 -0.0112591 -6.95346e-06 -0.0112587 8.72308e-05 0.0451358 -0.000160912
2.82 -0.0111294 -6.77134e-06 -0.011129 8.57019e-05 0.0448957 -0.000159205
2.835 -0.0110019 -6.59529e-06 -0.0110016 8.42093e-05 0.0446582 -0.000157525
2.85 -0.0108767 -6.42506e-06 -0.0108764 8.27518e-05 0.0444232 -0.000155871
2.865 -0.0107537 -6.26041e-06 -0.0107534 8.13286e-05 0.0441906 -0.000154243
2.88 -0.0106327 -6.10111e-06 -0.0106324 7.99384e-05 0.0439604 -0.00015264
2.895 -0.0105138 -5.94696e-06 -0.0105135 7.85804e-05 0.0437327 -0.000151063
2.91 -0.010397 -5.79775e-06 -0.0103967 7.72536e-05 0.0435072 -0.000149509
2.925 -0.0102821 -5.65328e-06 -0.0102818 7.5957e-05 0.0432841 -0.00014798
2.94 -0.0101691 -5.51338e-06 -0.0101688 7.46899e-05 0.0430633 -0.000146474
2.955 -0.010058 -5.37787e-06 -0.0100577 7.34513e-05 0.0428447 -0.000144991
2.97 -0.00994871 -5.24657e-06 -0.00994845 7.22404e-05 0.0426283 -0.00014353
2.985 -0.00984124 -5.11933e-06 -0.00984099 7.10565e-05 0.0424141 -0.000142091
